latitude,longitude,bezeichnung,art,kuenstler,entstehung,foto_wikipedia
54.087190002749807,12.142576012084126,GlockengieÃŸer,Bronzeplastik,Thomas Jastram,2008,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Glockengiesser.jpg
54.088491002750366,12.134020012087678,Glockenspiel,Bronzecarillon,Peter Schilling,1986,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Fuenfgiebelhaus_Glockenspiel.jpg
54.086563002749713,12.144602012083276,Greif,Bronzeplastik,Ernst Wossidlo,1930er Jahre,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Ernst_Barlach_Strasse_Greif.jpg
54.088491002750366,12.134020012087678,Greif,Terrakottaplastik,Reinhard Dietrich,1985,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_F%C3%BCnfgiebelhaus_3.jpg
54.078858002755183,12.089349012105895,GroÃŸe Liegende,Sandsteinplastik,Detlef Herrmann,,http://de.wikipedia.org/w/index.php?title=Datei:Liegende_im_Zoo_Rostock.jpg
54.097878002752829,12.086577012107448,GroÃŸe Sitzende,Bronzeplastik,Margret Middell,1969,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Schwanenteich1.jpg
54.18366900274119,12.086940012109263,GroÃŸe Stehende,Marmorplastik,Werner StÃ¶tzer,1998,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Grosse_Stehende.jpg
54.077117002752516,12.126662012090456,HÃ¤nde,Sandsteinplastik,Lieve Scholz,1989,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Sandsteinskulptur3.jpg
54.151737002747169,12.063850012118076,Handschuhanziehende,Plastik,Fritz Cremer,1961,
54.095409002754941,12.061439012117798,Hanne NÃ¼te (Ruhender Wanderer),Steinplastik,Ewald Holtz,1914,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Reuter_Wanderer.jpg
54.088491002750366,12.134020012087678,Harlekin und Columbine,Relief,Jo Jastram,1985,http://de.wikipedia.org/w/index.php?title=Datei:Fuenfgiebelhaus_Relief.jpg
54.088189002749822,12.140760012084899,Haus Sonne,Goldplastik mit schmiedeeisernen Voluten,Manfred Kandt und GÃ¼nter Laufer,1967/68,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Giebel_Haus_Sonne.jpg
54.087002002749983,12.140705012084888,Heiliger Georg,Terrakottaplastik,Richard KuÃ¶hl,1927,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Georg_und_Drache.jpg
54.177752002742835,12.075486012113855,Hochlandstier,Bronzeplastik,Heinrich Drake,1961,http://de.wikipedia.org/w/index.php?title=Datei:Warnemuende_Stier.jpg
54.086515002750332,12.137363012086249,Hommage Ã  BlÃ¼cher,Bronzeplastik,Reinhard Buch,1992,http://de.wikipedia.org/w/index.php?title=Datei:Wallstrasse_Bluecher.jpg
54.174548002742242,12.089288012108078,Insel der Frauen,Bronzeplastik auf Steintisch,Wolfgang Friedrich,1999,http://de.wikipedia.org/w/index.php?title=Datei:Warnem%C3%BCnde_Friedrich.jpg
54.08160800275094,12.138233012085786,Jugend,Kunststeinrelief,Margarete Scheel,1953/55,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Leibnizplatz_Scheel.jpg
54.07792600275242,12.126204012090662,Jugend unsere Zukunft,Betongussplastik,Heinrich Zenichowski,1980,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Stadthalle_Figurengruppe.jpg
54.175976002742736,12.079996012111954,Junge auf dem MÃ¼hlenstein,Bronzeplastik,Reinhard Buch,2009,http://de.wikipedia.org/w/index.php?title=Datei:Der_Junge_auf_dem_M%C3%BChlenstein.jpg
54.090799002750131,12.132952012088174,Kasper Ohm up sin Vosswallach,Bronzeplastik,Jo Jastram,1988,http://de.wikipedia.org/w/index.php?title=Datei:Kasper_Ohm.jpg
54.088491002750366,12.134020012087678,Katze,Terrakottaplastik,Reinhard Dietrich,1986,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Fuenfgiebelhaus_Katze.jpg
54.084623002753574,12.100382012101461,Lehrer â€“ Student,Betonwerksteinplastik,Reinhard Schmidt,1961,http://de.wikipedia.org/w/index.php?title=Datei:Rostock_Schmidt_Lehrer-Student.jpg
